chromosome	start	end
1	1	10000000
1	10000001	20000000
1	20000001	30000000
1	30000001	40000000
1	40000001	50000000
1	50000001	60000000
1	60000001	70000000
1	70000001	80000000
1	80000001	90000000
1	90000001	100000000
1	100000001	110000000
1	110000001	120000000
1	120000001	130000000
1	130000001	140000000
1	140000001	150000000
1	150000001	160000000
1	160000001	170000000
1	170000001	180000000
1	180000001	190000000
1	190000001	200000000
1	200000001	210000000
1	210000001	220000000
1	220000001	230000000
1	230000001	240000000
1	240000001	250000000
2	1	10000000
2	10000001	20000000
2	20000001	30000000
2	30000001	40000000
2	40000001	50000000
2	50000001	60000000
2	60000001	70000000
2	70000001	80000000
2	80000001	90000000
2	90000001	100000000
2	100000001	110000000
2	110000001	120000000
2	120000001	130000000
2	130000001	140000000
2	140000001	150000000
2	150000001	160000000
2	160000001	170000000
2	170000001	180000000
2	180000001	190000000
2	190000001	200000000
2	200000001	210000000
2	210000001	220000000
2	220000001	230000000
2	230000001	240000000
2	240000001	250000000
3	1	10000000
3	10000001	20000000
3	20000001	30000000
3	30000001	40000000
3	40000001	50000000
3	50000001	60000000
3	60000001	70000000
3	70000001	80000000
3	80000001	90000000
3	90000001	100000000
3	100000001	110000000
3	110000001	120000000
3	120000001	130000000
3	130000001	140000000
3	140000001	150000000
3	150000001	160000000
3	160000001	170000000
3	170000001	180000000
3	180000001	190000000
3	190000001	200000000
4	1	10000000
4	10000001	20000000
4	20000001	30000000
4	30000001	40000000
4	40000001	50000000
4	50000001	60000000
4	60000001	70000000
4	70000001	80000000
4	80000001	90000000
4	90000001	100000000
4	100000001	110000000
4	110000001	120000000
4	120000001	130000000
4	130000001	140000000
4	140000001	150000000
4	150000001	160000000
4	160000001	170000000
4	170000001	180000000
4	180000001	190000000
4	190000001	200000000
5	1	10000000
5	10000001	20000000
5	20000001	30000000
5	30000001	40000000
5	40000001	50000000
5	50000001	60000000
5	60000001	70000000
5	70000001	80000000
5	80000001	90000000
5	90000001	100000000
5	100000001	110000000
5	110000001	120000000
5	120000001	130000000
5	130000001	140000000
5	140000001	150000000
5	150000001	160000000
5	160000001	170000000
5	170000001	180000000
5	180000001	190000000
6	1	10000000
6	10000001	20000000
6	20000001	30000000
6	30000001	40000000
6	40000001	50000000
6	50000001	60000000
6	60000001	70000000
6	70000001	80000000
6	80000001	90000000
6	90000001	100000000
6	100000001	110000000
6	110000001	120000000
6	120000001	130000000
6	130000001	140000000
6	140000001	150000000
6	150000001	160000000
6	160000001	170000000
6	170000001	180000000
7	1	10000000
7	10000001	20000000
7	20000001	30000000
7	30000001	40000000
7	40000001	50000000
7	50000001	60000000
7	60000001	70000000
7	70000001	80000000
7	80000001	90000000
7	90000001	100000000
7	100000001	110000000
7	110000001	120000000
7	120000001	130000000
7	130000001	140000000
7	140000001	150000000
7	150000001	160000000
8	1	10000000
8	10000001	20000000
8	20000001	30000000
8	30000001	40000000
8	40000001	50000000
8	50000001	60000000
8	60000001	70000000
8	70000001	80000000
8	80000001	90000000
8	90000001	100000000
8	100000001	110000000
8	110000001	120000000
8	120000001	130000000
8	130000001	140000000
8	140000001	150000000
9	1	10000000
9	10000001	20000000
9	20000001	30000000
9	30000001	40000000
9	40000001	50000000
9	50000001	60000000
9	60000001	70000000
9	70000001	80000000
9	80000001	90000000
9	90000001	100000000
9	100000001	110000000
9	110000001	120000000
9	120000001	130000000
9	130000001	140000000
9	140000001	150000000
10	1	10000000
10	10000001	20000000
